pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 22:47:30+00:00,2022-11-30 22:53:05+00:00,1.000000000,6.000000000,1,9.450000000,Brooklyn
2022-11-30 22:44:42+00:00,2022-11-30 23:08:26+00:00,8.900000000,39.230000000,0,58.900000000,Brooklyn
2022-11-30 22:43:04+00:00,2022-11-30 23:07:09+00:00,4.890000000,19.500000000,1,27.960000000,Brooklyn
2022-11-30 22:41:43+00:00,2022-11-30 22:59:09+00:00,3.900000000,15.000000000,1,22.550000000,Brooklyn
2022-11-30 22:41:24+00:00,2022-11-30 23:04:23+00:00,4.900000000,21.000000000,2,22.300000000,Brooklyn
2022-11-30 22:40:46+00:00,2022-11-30 23:10:13+00:00,7.730000000,27.000000000,1,36.960000000,Brooklyn
2022-11-30 22:38:24+00:00,2022-11-30 22:53:34+00:00,3.800000000,14.000000000,2,17.800000000,Brooklyn
2022-11-30 22:37:04+00:00,2022-11-30 22:58:02+00:00,5.870000000,19.500000000,1,26.000000000,Brooklyn
2022-11-30 22:36:08+00:00,2022-11-30 23:05:22+00:00,7.230000000,26.000000000,1,27.300000000,Brooklyn
2022-11-30 22:34:27+00:00,2022-11-30 22:38:01+00:00,0.600000000,4.500000000,2,5.800000000,Brooklyn
2022-11-30 22:34:26+00:00,2022-11-30 23:05:27+00:00,9.300000000,31.000000000,1,37.300000000,Brooklyn
2022-11-30 22:32:52+00:00,2022-11-30 22:33:38+00:00,0.270000000,3.000000000,2,4.300000000,Brooklyn
2022-11-30 22:32:20+00:00,2022-11-30 22:56:56+00:00,5.420000000,30.080000000,0,38.390000000,Brooklyn
2022-11-30 22:31:47+00:00,2022-11-30 22:34:12+00:00,0.560000000,4.000000000,2,5.300000000,Brooklyn
2022-11-30 22:30:23+00:00,2022-11-30 22:56:28+00:00,13.500000000,60.000000000,2,60.300000000,Brooklyn
2022-11-30 22:29:42+00:00,2022-11-30 23:24:52+00:00,0E-9,22.200000000,1,23.000000000,Brooklyn
2022-11-30 22:29:05+00:00,2022-11-30 22:43:54+00:00,3.450000000,13.500000000,1,22.300000000,Brooklyn
2022-11-30 22:27:53+00:00,2022-11-30 22:35:39+00:00,1.400000000,7.000000000,1,9.960000000,Brooklyn
2022-11-30 22:27:39+00:00,2022-11-30 22:54:35+00:00,7.400000000,26.000000000,1,35.750000000,Brooklyn
2022-11-30 22:27:09+00:00,2022-11-30 22:27:22+00:00,0E-9,-2.500000000,2,-3.800000000,Brooklyn
2022-11-30 22:27:09+00:00,2022-11-30 22:27:22+00:00,0E-9,2.500000000,2,3.800000000,Brooklyn
2022-11-30 22:26:26+00:00,2022-11-30 22:44:35+00:00,2.400000000,13.000000000,1,17.150000000,Brooklyn
2022-11-30 22:26:13+00:00,2022-11-30 22:40:09+00:00,2.040000000,12.480000000,0,15.940000000,Brooklyn
2022-11-30 22:25:09+00:00,2022-11-30 22:43:46+00:00,6.040000000,19.500000000,1,24.960000000,Brooklyn
2022-11-30 22:23:55+00:00,2022-11-30 22:34:24+00:00,1.700000000,9.000000000,2,10.300000000,Brooklyn
