pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:53:41+00:00,2022-12-01 00:16:07+00:00,16.150000000,44.500000000,2,47.050000000,Queens
2022-11-30 23:53:40+00:00,2022-12-01 00:08:01+00:00,4.710000000,15.500000000,1,20.160000000,Queens
2022-11-30 23:53:39+00:00,2022-12-01 00:23:11+00:00,12.310000000,37.000000000,1,42.050000000,Queens
2022-11-30 23:53:31+00:00,2022-12-01 00:26:03+00:00,18.300000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:53:28+00:00,2022-12-01 00:06:10+00:00,6.200000000,18.500000000,1,25.250000000,Queens
2022-11-30 23:53:26+00:00,2022-12-01 00:20:09+00:00,17.900000000,52.000000000,1,83.100000000,Queens
2022-11-30 23:53:20+00:00,2022-12-01 00:10:27+00:00,6.500000000,21.500000000,1,36.700000000,Queens
2022-11-30 23:53:14+00:00,2022-12-01 00:29:33+00:00,20.400000000,52.000000000,1,63.100000000,Queens
2022-11-30 23:53:10+00:00,2022-12-01 00:18:17+00:00,16.690000000,52.000000000,1,73.100000000,Queens
2022-11-30 23:53:01+00:00,2022-12-01 00:19:29+00:00,16.800000000,45.500000000,1,52.860000000,Queens
2022-11-30 23:52:50+00:00,2022-11-30 23:58:17+00:00,2.600000000,9.000000000,1,17.550000000,Queens
2022-11-30 23:52:39+00:00,2022-12-01 00:31:34+00:00,25.570000000,69.500000000,1,80.050000000,Queens
2022-11-30 23:52:32+00:00,2022-12-01 00:14:02+00:00,9.660000000,28.500000000,2,40.100000000,Queens
2022-11-30 23:52:27+00:00,2022-12-01 00:08:39+00:00,7.850000000,23.500000000,1,42.120000000,Queens
2022-11-30 23:52:23+00:00,2022-12-01 00:24:27+00:00,19.640000000,52.000000000,1,67.610000000,Queens
2022-11-30 23:52:22+00:00,2022-12-01 00:12:24+00:00,8.680000000,26.000000000,1,34.260000000,Queens
2022-11-30 23:52:17+00:00,2022-12-01 00:04:15+00:00,7.420000000,21.500000000,2,24.050000000,Queens
2022-11-30 23:52:15+00:00,2022-12-01 00:19:31+00:00,0E-9,60.000000000,2,61.550000000,Queens
2022-11-30 23:51:58+00:00,2022-12-01 00:16:54+00:00,8.790000000,35.000000000,1,48.810000000,Queens
2022-11-30 23:51:46+00:00,2022-12-01 00:27:53+00:00,20.600000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:51:45+00:00,2022-12-01 00:25:08+00:00,21.100000000,52.000000000,1,72.700000000,Queens
2022-11-30 23:51:44+00:00,2022-12-01 00:28:16+00:00,13.030000000,39.500000000,1,44.050000000,Queens
2022-11-30 23:51:38+00:00,2022-11-30 23:59:36+00:00,3.600000000,12.500000000,2,15.050000000,Queens
2022-11-30 23:51:30+00:00,2022-12-01 00:17:34+00:00,14.050000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:51:30+00:00,2022-12-01 00:20:14+00:00,13.620000000,39.500000000,2,42.050000000,Queens
2022-11-30 23:51:27+00:00,2022-12-01 00:07:44+00:00,8.870000000,25.500000000,1,44.270000000,Queens
2022-11-30 23:51:19+00:00,2022-12-01 00:14:44+00:00,10.880000000,32.000000000,1,52.070000000,Queens
2022-11-30 23:51:15+00:00,2022-12-01 00:05:14+00:00,3.220000000,13.000000000,2,15.550000000,Queens
2022-11-30 23:51:13+00:00,2022-12-01 00:08:07+00:00,7.380000000,23.000000000,1,30.660000000,Queens
2022-11-30 23:50:58+00:00,2022-12-01 00:34:39+00:00,16.400000000,49.000000000,1,92.860000000,Queens
2022-11-30 23:50:45+00:00,2022-12-01 00:27:16+00:00,20.870000000,52.000000000,2,56.550000000,Queens
2022-11-30 23:50:38+00:00,2022-12-01 00:18:57+00:00,11.690000000,35.500000000,1,42.800000000,Queens
2022-11-30 23:50:32+00:00,2022-12-01 00:08:46+00:00,10.200000000,28.500000000,2,40.100000000,Queens
2022-11-30 23:50:30+00:00,2022-12-01 00:42:01+00:00,23.780000000,135.000000000,1,148.300000000,Queens
2022-11-30 23:50:29+00:00,2022-11-30 23:55:26+00:00,3.500000000,-11.000000000,2,-13.550000000,Queens
2022-11-30 23:50:29+00:00,2022-11-30 23:55:26+00:00,3.500000000,11.000000000,2,13.550000000,Queens
2022-11-30 23:50:25+00:00,2022-12-01 00:21:09+00:00,11.860000000,36.500000000,1,57.720000000,Queens
2022-11-30 23:50:20+00:00,2022-12-01 00:17:40+00:00,16.830000000,52.000000000,2,63.100000000,Queens
2022-11-30 23:50:16+00:00,2022-12-01 00:18:54+00:00,12.130000000,35.500000000,1,56.270000000,Queens
