pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-12-01 00:00:03+00:00,2022-12-01 00:31:34+00:00,6.650000000,25.000000000,1,34.560000000,Manhattan
2022-11-30 23:59:59+00:00,2022-12-01 00:16:47+00:00,5.090000000,17.000000000,1,24.960000000,Manhattan
2022-11-30 23:59:57+00:00,2022-12-01 00:11:18+00:00,2.600000000,11.000000000,1,17.750000000,Manhattan
2022-11-30 23:59:55+00:00,2022-12-01 00:13:26+00:00,4.100000000,13.500000000,1,19.300000000,Manhattan
2022-11-30 23:59:55+00:00,2022-12-01 00:01:44+00:00,0.400000000,3.500000000,1,9.120000000,Manhattan
2022-11-30 23:59:51+00:00,2022-12-01 00:14:57+00:00,6.800000000,20.500000000,1,31.550000000,Manhattan
2022-11-30 23:59:50+00:00,2022-12-01 00:15:39+00:00,4.460000000,15.500000000,2,19.300000000,Manhattan
2022-11-30 23:59:49+00:00,2022-12-01 00:15:21+00:00,2.220000000,11.500000000,1,18.360000000,Manhattan
2022-11-30 23:59:46+00:00,2022-12-01 00:05:05+00:00,1.410000000,6.500000000,1,12.360000000,Manhattan
2022-11-30 23:59:46+00:00,2022-12-01 00:31:11+00:00,7.990000000,32.040000000,0,42.410000000,Manhattan
2022-11-30 23:59:37+00:00,2022-12-01 00:11:04+00:00,1.800000000,9.500000000,1,13.300000000,Manhattan
2022-11-30 23:59:37+00:00,2022-12-01 00:08:02+00:00,1.580000000,8.000000000,1,14.160000000,Manhattan
2022-11-30 23:59:34+00:00,2022-12-01 00:04:27+00:00,1.100000000,6.000000000,2,7.300000000,Manhattan
2022-11-30 23:59:33+00:00,2022-12-01 00:13:10+00:00,4.750000000,15.000000000,1,22.180000000,Manhattan
2022-11-30 23:59:33+00:00,2022-12-01 00:12:07+00:00,2.460000000,11.000000000,1,17.760000000,Manhattan
2022-11-30 23:59:31+00:00,2022-12-01 00:05:13+00:00,1.500000000,7.000000000,1,12.950000000,Manhattan
2022-11-30 23:59:29+00:00,2022-12-01 00:06:48+00:00,1.000000000,6.500000000,2,10.300000000,Manhattan
2022-11-30 23:59:28+00:00,2022-12-01 00:04:41+00:00,0.810000000,5.500000000,1,10.300000000,Manhattan
2022-11-30 23:59:28+00:00,2022-12-01 00:10:54+00:00,3.020000000,11.500000000,1,18.360000000,Manhattan
