vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month,borough
2,2022-11-30 23:56:40+00:00,2022-12-01 00:27:43+00:00,1,18.850000000,2.0,N,2,52.000000000,0E-9,0.500000000,0E-9,0E-9,0.300000000,1.250000000,56.550000000,132,231,2022,11,Queens
2,2022-11-30 23:56:39+00:00,2022-12-01 00:28:51+00:00,1,17.750000000,2.0,N,2,52.000000000,0E-9,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,63.100000000,132,163,2022,11,Queens
1,2022-11-30 23:56:37+00:00,2022-12-01 00:28:59+00:00,0,16.500000000,1.0,N,1,47.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,0E-9,48.800000000,70,14,2022,11,Queens
2,2022-11-30 23:56:35+00:00,2022-12-01 00:15:42+00:00,1,11.280000000,1.0,N,1,31.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,34.050000000,132,92,2022,11,Queens
2,2022-11-30 23:56:08+00:00,2022-12-01 00:15:59+00:00,3,8.370000000,1.0,N,1,26.000000000,0.500000000,0.500000000,7.520000000,6.550000000,0.300000000,1.250000000,45.120000000,138,233,2022,11,Queens
1,2022-11-30 23:56:07+00:00,2022-12-01 00:25:42+00:00,1,8.700000000,1.0,N,1,29.000000000,3.000000000,0.500000000,9.800000000,6.550000000,0.300000000,0E-9,49.150000000,70,164,2022,11,Queens
2,2022-11-30 23:56:05+00:00,2022-12-01 00:30:32+00:00,1,20.220000000,1.0,N,1,55.500000000,0.500000000,0.500000000,17.040000000,0E-9,0.300000000,1.250000000,75.090000000,132,106,2022,11,Queens
2,2022-11-30 23:56:04+00:00,2022-12-01 00:14:11+00:00,1,10.530000000,2.0,N,1,52.000000000,0E-9,0.500000000,5.000000000,6.550000000,0.300000000,0E-9,66.850000000,93,113,2022,11,Queens
1,2022-11-30 23:55:59+00:00,2022-12-01 00:17:27+00:00,1,11.600000000,1.0,N,1,32.500000000,1.750000000,0.500000000,8.000000000,13.100000000,0.300000000,1.250000000,56.150000000,138,138,2022,11,Queens
2,2022-11-30 23:55:59+00:00,2022-12-01 00:13:54+00:00,1,7.420000000,1.0,N,1,23.000000000,0.500000000,0.500000000,4.860000000,0E-9,0.300000000,1.250000000,30.410000000,138,256,2022,11,Queens
1,2022-11-30 23:55:53+00:00,2022-12-01 00:31:16+00:00,1,26.900000000,1.0,N,1,70.500000000,1.250000000,0.500000000,14.500000000,0E-9,0.300000000,1.250000000,87.050000000,132,54,2022,11,Queens
2,2022-11-30 23:55:42+00:00,2022-12-01 00:14:04+00:00,1,8.680000000,1.0,N,2,26.000000000,0.500000000,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,35.100000000,138,244,2022,11,Queens
2,2022-11-30 23:55:38+00:00,2022-12-01 00:11:39+00:00,1,7.250000000,1.0,N,1,21.500000000,0.500000000,0.500000000,6.840000000,0E-9,0.300000000,1.250000000,30.890000000,132,76,2022,11,Queens
2,2022-11-30 23:55:30+00:00,2022-12-01 00:23:44+00:00,1,18.300000000,1.0,N,1,49.500000000,0.500000000,0.500000000,5.000000000,0E-9,0.300000000,1.250000000,57.050000000,132,65,2022,11,Queens
2,2022-11-30 23:55:21+00:00,2022-12-01 00:13:37+00:00,1,13.860000000,2.0,N,1,52.000000000,0E-9,0.500000000,12.370000000,6.550000000,0.300000000,0E-9,74.220000000,130,263,2022,11,Queens
2,2022-11-30 23:55:17+00:00,2022-12-01 00:14:16+00:00,1,7.570000000,1.0,N,2,23.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,25.550000000,132,76,2022,11,Queens
1,2022-11-30 23:55:15+00:00,2022-12-01 00:20:07+00:00,2,16.500000000,2.0,N,1,52.000000000,3.750000000,0.500000000,12.600000000,6.550000000,0.300000000,1.250000000,75.700000000,132,170,2022,11,Queens
2,2022-11-30 23:55:10+00:00,2022-12-01 00:15:07+00:00,1,9.300000000,1.0,N,1,27.500000000,0.500000000,0.500000000,7.570000000,6.550000000,0.300000000,1.250000000,46.670000000,138,229,2022,11,Queens
1,2022-11-30 23:55:03+00:00,2022-12-01 00:32:09+00:00,1,17.500000000,2.0,N,1,52.000000000,3.750000000,0.500000000,15.800000000,6.550000000,0.300000000,1.250000000,78.900000000,132,230,2022,11,Queens
1,2022-11-30 23:55:01+00:00,2022-12-01 00:23:00+00:00,1,16.000000000,1.0,N,1,44.500000000,1.750000000,0.500000000,4.000000000,0E-9,0.300000000,1.250000000,51.050000000,138,265,2022,11,Queens
2,2022-11-30 23:54:55+00:00,2022-12-01 00:20:27+00:00,1,14.880000000,1.0,N,1,41.000000000,0.500000000,0.500000000,3.000000000,0E-9,0.300000000,0E-9,45.300000000,132,112,2022,11,Queens
1,2022-11-30 23:54:53+00:00,2022-12-01 00:22:25+00:00,1,18.900000000,2.0,N,1,52.000000000,3.750000000,0.500000000,11.300000000,0E-9,0.300000000,1.250000000,67.850000000,132,79,2022,11,Queens
2,2022-11-30 23:54:34+00:00,2022-12-01 00:29:08+00:00,1,19.790000000,2.0,N,1,52.000000000,0E-9,0.500000000,15.780000000,6.550000000,0.300000000,1.250000000,78.880000000,132,236,2022,11,Queens
1,2022-11-30 23:53:56+00:00,2022-12-01 00:20:12+00:00,1,12.600000000,1.0,N,1,36.000000000,3.000000000,0.500000000,5.000000000,6.550000000,0.300000000,0E-9,51.350000000,70,48,2022,11,Queens
2,2022-11-30 23:53:49+00:00,2022-12-01 00:10:44+00:00,1,8.060000000,1.0,N,1,24.000000000,0.500000000,0.500000000,7.120000000,6.550000000,0.300000000,1.250000000,42.720000000,70,170,2022,11,Queens
2,2022-11-30 23:53:44+00:00,2022-12-01 00:16:11+00:00,2,16.040000000,2.0,N,2,52.000000000,0E-9,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,63.100000000,132,170,2022,11,Queens
1,2022-11-30 23:53:44+00:00,2022-12-01 00:15:52+00:00,1,7.200000000,1.0,N,1,23.000000000,0.500000000,0.500000000,4.000000000,0E-9,0.300000000,0E-9,28.300000000,70,256,2022,11,Queens
2,2022-11-30 23:53:41+00:00,2022-12-01 00:16:07+00:00,1,16.150000000,1.0,N,2,44.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,47.050000000,132,15,2022,11,Queens
2,2022-11-30 23:53:40+00:00,2022-12-01 00:08:01+00:00,1,4.710000000,1.0,N,1,15.500000000,0.500000000,0.500000000,3.360000000,0E-9,0.300000000,0E-9,20.160000000,70,146,2022,11,Queens
2,2022-11-30 23:53:39+00:00,2022-12-01 00:23:11+00:00,1,12.310000000,1.0,N,1,37.000000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,42.050000000,138,87,2022,11,Queens
1,2022-11-30 23:53:31+00:00,2022-12-01 00:26:03+00:00,4,18.300000000,2.0,N,2,52.000000000,3.750000000,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,63.100000000,132,48,2022,11,Queens
1,2022-11-30 23:53:28+00:00,2022-12-01 00:06:10+00:00,2,6.200000000,1.0,N,1,18.500000000,1.750000000,0.500000000,4.200000000,0E-9,0.300000000,1.250000000,25.250000000,132,265,2022,11,Queens
1,2022-11-30 23:53:26+00:00,2022-12-01 00:20:09+00:00,1,17.900000000,2.0,N,1,52.000000000,3.750000000,0.500000000,20.000000000,6.550000000,0.300000000,1.250000000,83.100000000,132,79,2022,11,Queens
1,2022-11-30 23:53:20+00:00,2022-12-01 00:10:27+00:00,1,6.500000000,1.0,N,1,21.500000000,1.750000000,0.500000000,6.100000000,6.550000000,0.300000000,1.250000000,36.700000000,138,41,2022,11,Queens
1,2022-11-30 23:53:14+00:00,2022-12-01 00:29:33+00:00,2,20.400000000,2.0,N,1,52.000000000,3.750000000,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,63.100000000,132,239,2022,11,Queens
2,2022-11-30 23:53:10+00:00,2022-12-01 00:18:17+00:00,1,16.690000000,2.0,N,1,52.000000000,0E-9,0.500000000,10.000000000,6.550000000,0.300000000,1.250000000,73.100000000,132,234,2022,11,Queens
1,2022-11-30 23:53:01+00:00,2022-12-01 00:19:29+00:00,1,16.800000000,1.0,N,1,45.500000000,1.750000000,0.500000000,4.810000000,0E-9,0.300000000,1.250000000,52.860000000,132,49,2022,11,Queens
1,2022-11-30 23:52:50+00:00,2022-11-30 23:58:17+00:00,1,2.600000000,1.0,N,1,9.000000000,1.750000000,0.500000000,6.000000000,0E-9,0.300000000,1.250000000,17.550000000,132,10,2022,11,Queens
2,2022-11-30 23:52:39+00:00,2022-12-01 00:31:34+00:00,1,25.570000000,1.0,N,1,69.500000000,0.500000000,0.500000000,8.000000000,0E-9,0.300000000,1.250000000,80.050000000,132,228,2022,11,Queens
2,2022-11-30 23:52:32+00:00,2022-12-01 00:14:02+00:00,1,9.660000000,1.0,N,2,28.500000000,0.500000000,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,40.100000000,138,239,2022,11,Queens
2,2022-11-30 23:52:27+00:00,2022-12-01 00:08:39+00:00,1,7.850000000,1.0,N,1,23.500000000,0.500000000,0.500000000,7.020000000,6.550000000,0.300000000,1.250000000,42.120000000,70,263,2022,11,Queens
2,2022-11-30 23:52:23+00:00,2022-12-01 00:24:27+00:00,1,19.640000000,2.0,N,1,52.000000000,0E-9,0.500000000,11.060000000,0E-9,0.300000000,1.250000000,67.610000000,132,125,2022,11,Queens
2,2022-11-30 23:52:22+00:00,2022-12-01 00:12:24+00:00,5,8.680000000,1.0,N,1,26.000000000,0.500000000,0.500000000,5.710000000,0E-9,0.300000000,1.250000000,34.260000000,70,256,2022,11,Queens
2,2022-11-30 23:52:17+00:00,2022-12-01 00:04:15+00:00,1,7.420000000,1.0,N,2,21.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,24.050000000,132,93,2022,11,Queens
1,2022-11-30 23:52:15+00:00,2022-12-01 00:19:31+00:00,1,0E-9,5.0,N,2,60.000000000,1.250000000,0E-9,0E-9,0E-9,0.300000000,1.250000000,61.550000000,132,66,2022,11,Queens
2,2022-11-30 23:51:58+00:00,2022-12-01 00:16:54+00:00,1,8.790000000,5.0,N,1,35.000000000,0E-9,0E-9,9.760000000,0E-9,0.300000000,1.250000000,48.810000000,138,263,2022,11,Queens
2,2022-11-30 23:51:46+00:00,2022-12-01 00:27:53+00:00,2,20.600000000,2.0,N,2,52.000000000,0E-9,0.500000000,0E-9,6.550000000,0.300000000,1.250000000,63.100000000,132,239,2022,11,Queens
1,2022-11-30 23:51:45+00:00,2022-12-01 00:25:08+00:00,1,21.100000000,2.0,N,1,52.000000000,1.250000000,0.500000000,12.100000000,6.550000000,0.300000000,1.250000000,72.700000000,132,151,2022,11,Queens
2,2022-11-30 23:51:44+00:00,2022-12-01 00:28:16+00:00,1,13.030000000,1.0,N,1,39.500000000,0.500000000,0.500000000,2.000000000,0E-9,0.300000000,1.250000000,44.050000000,132,189,2022,11,Queens
1,2022-11-30 23:51:38+00:00,2022-11-30 23:59:36+00:00,1,3.600000000,1.0,N,2,12.500000000,1.750000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,15.050000000,138,92,2022,11,Queens
2,2022-11-30 23:51:30+00:00,2022-12-01 00:20:14+00:00,1,13.620000000,1.0,N,2,39.500000000,0.500000000,0.500000000,0E-9,0E-9,0.300000000,1.250000000,42.050000000,70,225,2022,11,Queens
